Wait Time,Nationality,Outcome,Period in which decisions made,Count
Under 6 months,Afghanistan,Grant,2011 Q1,70
6 months to under 1 year,Afghanistan,Grant,2011 Q1,5
1 year to under 1.5 years,Afghanistan,Grant,2011 Q1,2
1.5 years to under 2 years,Afghanistan,Grant,2011 Q1,4
2 years to under 2.5 years,Afghanistan,Grant,2011 Q1,2
2.5 years to under 3 years,Afghanistan,Grant,2011 Q1,3
3 years or more,Afghanistan,Grant,2011 Q1,3
Under 6 months,Afghanistan,Refusal,2011 Q1,204
6 months to under 1 year,Afghanistan,Refusal,2011 Q1,12
1 year to under 1.5 years,Afghanistan,Refusal,2011 Q1,29
1.5 years to under 2 years,Afghanistan,Refusal,2011 Q1,40
2 years to under 2.5 years,Afghanistan,Refusal,2011 Q1,37
2.5 years to under 3 years,Afghanistan,Refusal,2011 Q1,9
3 years or more,Afghanistan,Refusal,2011 Q1,13
Under 6 months,Albania,Grant,2011 Q1,7
6 months to under 1 year,Albania,Grant,2011 Q1,1
Under 6 months,Albania,Refusal,2011 Q1,25
1.5 years to under 2 years,Albania,Refusal,2011 Q1,2
2 years to under 2.5 years,Albania,Refusal,2011 Q1,1
Under 6 months,Algeria,Grant,2011 Q1,5
3 years or more,Algeria,Grant,2011 Q1,1
Under 6 months,Algeria,Refusal,2011 Q1,55
1.5 years to under 2 years,Algeria,Refusal,2011 Q1,1
2 years to under 2.5 years,Algeria,Refusal,2011 Q1,3
2.5 years to under 3 years,Algeria,Refusal,2011 Q1,1
3 years or more,Algeria,Refusal,2011 Q1,5
Under 6 months,Angola,Grant,2011 Q1,2
1.5 years to under 2 years,Angola,Grant,2011 Q1,1
Under 6 months,Angola,Refusal,2011 Q1,6
3 years or more,Angola,Refusal,2011 Q1,2
Under 6 months,Armenia,Refusal,2011 Q1,1
Under 6 months,Azerbaijan,Grant,2011 Q1,1
Under 6 months,Azerbaijan,Refusal,2011 Q1,1
3 years or more,Azerbaijan,Refusal,2011 Q1,1
Under 6 months,Bahrain,Grant,2011 Q1,1
1.5 years to under 2 years,Bahrain,Grant,2011 Q1,1
Under 6 months,Bahrain,Refusal,2011 Q1,3
Under 6 months,Bangladesh,Grant,2011 Q1,7
3 years or more,Bangladesh,Grant,2011 Q1,1
Under 6 months,Bangladesh,Refusal,2011 Q1,77
6 months to under 1 year,Bangladesh,Refusal,2011 Q1,1
1 year to under 1.5 years,Bangladesh,Refusal,2011 Q1,1
1.5 years to under 2 years,Bangladesh,Refusal,2011 Q1,2
2 years to under 2.5 years,Bangladesh,Refusal,2011 Q1,2
2.5 years to under 3 years,Bangladesh,Refusal,2011 Q1,1
3 years or more,Bangladesh,Refusal,2011 Q1,2
Under 6 months,Belarus,Grant,2011 Q1,6
Under 6 months,Belarus,Refusal,2011 Q1,4
Under 6 months,Belize,Refusal,2011 Q1,1
Under 6 months,Bhutan,Grant,2011 Q1,6
Under 6 months,Bhutan,Refusal,2011 Q1,3
Under 6 months,Bolivia,Grant,2011 Q1,1
Under 6 months,Bolivia,Refusal,2011 Q1,7
Under 6 months,Bosnia and Herzegovina,Grant,2011 Q1,1
Under 6 months,Botswana,Refusal,2011 Q1,2
Under 6 months,British overseas citizens,Grant,2011 Q1,1
3 years or more,British overseas citizens,Refusal,2011 Q1,1
3 years or more,Bulgaria,Refusal,2011 Q1,1
Under 6 months,Burkina,Refusal,2011 Q1,1
Under 6 months,Burma,Grant,2011 Q1,17
Under 6 months,Burma,Refusal,2011 Q1,36
Under 6 months,Burundi,Grant,2011 Q1,1
Under 6 months,Burundi,Refusal,2011 Q1,2
Under 6 months,Cameroon,Grant,2011 Q1,6
6 months to under 1 year,Cameroon,Grant,2011 Q1,1
2 years to under 2.5 years,Cameroon,Grant,2011 Q1,1
Under 6 months,Cameroon,Refusal,2011 Q1,12
6 months to under 1 year,Cameroon,Refusal,2011 Q1,1
1 year to under 1.5 years,Cameroon,Refusal,2011 Q1,1
Under 6 months,Canada,Refusal,2011 Q1,1
Under 6 months,Chad,Refusal,2011 Q1,2
Under 6 months,Chile,Refusal,2011 Q1,1
Under 6 months,China,Grant,2011 Q1,29
6 months to under 1 year,China,Grant,2011 Q1,1
1 year to under 1.5 years,China,Grant,2011 Q1,1
1.5 years to under 2 years,China,Grant,2011 Q1,1
2 years to under 2.5 years,China,Grant,2011 Q1,3
2.5 years to under 3 years,China,Grant,2011 Q1,3
Under 6 months,China,Refusal,2011 Q1,137
6 months to under 1 year,China,Refusal,2011 Q1,9
1 year to under 1.5 years,China,Refusal,2011 Q1,5
1.5 years to under 2 years,China,Refusal,2011 Q1,9
2 years to under 2.5 years,China,Refusal,2011 Q1,21
2.5 years to under 3 years,China,Refusal,2011 Q1,12
3 years or more,China,Refusal,2011 Q1,8
Under 6 months,Colombia,Grant,2011 Q1,2
Under 6 months,Colombia,Refusal,2011 Q1,4
3 years or more,Colombia,Refusal,2011 Q1,1
3 years or more,Congo,Grant,2011 Q1,1
Under 6 months,Congo,Refusal,2011 Q1,1
Under 6 months,Congo (Democratic Republic),Grant,2011 Q1,16
2 years to under 2.5 years,Congo (Democratic Republic),Grant,2011 Q1,3
2.5 years to under 3 years,Congo (Democratic Republic),Grant,2011 Q1,1
3 years or more,Congo (Democratic Republic),Grant,2011 Q1,1
Under 6 months,Congo (Democratic Republic),Refusal,2011 Q1,38
1 year to under 1.5 years,Congo (Democratic Republic),Refusal,2011 Q1,3
2 years to under 2.5 years,Congo (Democratic Republic),Refusal,2011 Q1,1
2.5 years to under 3 years,Congo (Democratic Republic),Refusal,2011 Q1,1
3 years or more,Congo (Democratic Republic),Refusal,2011 Q1,2
3 years or more,Croatia,Refusal,2011 Q1,1
Under 6 months,Cuba,Refusal,2011 Q1,2
3 years or more,Dominica,Refusal,2011 Q1,1
Under 6 months,Dominican Republic,Refusal,2011 Q1,1
