Quarter of Quarter,QuarterOfYear,Label,Speeding violations,Total violations,Number of Records,Percentage speeding of total violations,Quarter
2003 Q1,1,First quarter 2003,"2,521","6,914",1,36.5%,01/01/2003 00:00:00
2003 Q2,2,Second quarter 2003,"2,700","7,221",1,37.4%,01/04/2003 00:00:00
2003 Q3,3,Third quarter 2003,"2,154","6,990",1,30.8%,01/07/2003 00:00:00
2003 Q4,4,Fourth quarter 2003,"1,958","6,313",1,31.0%,01/10/2003 00:00:00
2004 Q1,1,First quarter 2004,"1,737","6,269",1,27.7%,01/01/2004 00:00:00
2004 Q2,2,Second quarter 2004,"2,103","6,994",1,30.1%,01/04/2004 00:00:00
2004 Q3,3,Third quarter 2004,"1,983","6,592",1,30.1%,01/07/2004 00:00:00
2004 Q4,4,Fourth quarter 2004,"1,340","5,177",1,25.9%,01/10/2004 00:00:00
2005 Q1,1,First quarter 2005,"1,580","5,363",1,29.5%,01/01/2005 00:00:00
2005 Q2,2,Second quarter 2005,"1,536","5,385",1,28.5%,01/04/2005 00:00:00
2005 Q3,3,Third quarter 2005,"1,130","4,695",1,24.1%,01/07/2005 00:00:00
2005 Q4,4,Fourth quarter 2005,"1,445","6,635",1,21.8%,01/10/2005 00:00:00
2006 Q1,1,First quarter 2006,"1,820","5,752",1,31.6%,01/01/2006 00:00:00
2006 Q2,2,Second quarter 2006,"1,868","5,647",1,33.1%,01/04/2006 00:00:00
2006 Q3,3,Third quarter 2006,"1,360","4,961",1,27.4%,01/07/2006 00:00:00
2006 Q4,4,Fourth quarter 2006,"1,313","4,722",1,27.8%,01/10/2006 00:00:00
2007 Q1,1,First quarter 2007,"1,235","4,772",1,25.9%,01/01/2007 00:00:00
2007 Q2,2,Second quarter 2007,"1,270","5,025",1,25.3%,01/04/2007 00:00:00
2007 Q3,3,Third quarter 2007,"1,232","4,771",1,25.8%,01/07/2007 00:00:00
2007 Q4,4,Fourth quarter 2007,"1,003","3,856",1,26.0%,01/10/2007 00:00:00
2008 Q1,1,First quarter 2008,"1,223","4,534",1,27.0%,01/01/2008 00:00:00
2008 Q2,2,Second quarter 2008,"1,779","5,146",1,34.6%,01/04/2008 00:00:00
2008 Q3,3,Third quarter 2008,"2,038","6,110",1,33.4%,01/07/2008 00:00:00
2008 Q4,4,Fourth quarter 2008,"1,684","4,957",1,34.0%,01/10/2008 00:00:00
2009 Q1,1,First quarter 2009,"2,114","6,046",1,35.0%,01/01/2009 00:00:00
2009 Q2,2,Second quarter 2009,"3,085","7,349",1,42.0%,01/04/2009 00:00:00
2009 Q3,3,Third quarter 2009,"2,798","6,856",1,40.8%,01/07/2009 00:00:00
2009 Q4,4,Fourth quarter 2009,"1,479","4,594",1,32.2%,01/10/2009 00:00:00
2010 Q1,1,First quarter 2010,"2,517","6,533",1,38.5%,01/01/2010 00:00:00
2010 Q2,2,Second quarter 2010,"2,862","7,108",1,40.3%,01/04/2010 00:00:00
2010 Q3,3,Third quarter 2010,"2,225","6,875",1,32.4%,01/07/2010 00:00:00
2010 Q4,4,Fourth quarter 2010,"1,435","5,108",1,28.1%,01/10/2010 00:00:00
2011 Q1,1,First quarter 2011,"1,266","4,855",1,26.1%,01/01/2011 00:00:00
2011 Q2,2,Second quarter 2011,"1,835","5,864",1,31.3%,01/04/2011 00:00:00
2011 Q3,3,Third quarter 2011,"2,035","6,192",1,32.9%,01/07/2011 00:00:00
2011 Q4,4,Fourth quarter 2011,"1,506","4,933",1,30.5%,01/10/2011 00:00:00
2012 Q1,1,First quarter 2012,"2,500","6,751",1,37.0%,01/01/2012 00:00:00
2012 Q2,2,Second quarter 2012,"2,465","7,025",1,35.1%,01/04/2012 00:00:00
2012 Q3,3,Third quarter 2012,"2,298","6,635",1,34.6%,01/07/2012 00:00:00
2012 Q4,4,Fourth quarter 2012,"1,517","4,863",1,31.2%,01/10/2012 00:00:00
2013 Q1,1,First quarter 2013,"2,468","6,990",1,35.3%,01/01/2013 00:00:00
2013 Q2,2,Second quarter 2013,"2,249","6,315",1,35.6%,01/04/2013 00:00:00
2013 Q3,3,Third quarter 2013,"1,372","5,234",1,26.2%,01/07/2013 00:00:00
2013 Q4,4,Fourth quarter 2013,827,"4,339",1,19.1%,01/10/2013 00:00:00
2014 Q1,1,First quarter 2014,831,"4,040",1,20.6%,01/01/2014 00:00:00
